lat,lon,speed
41.073204,23.517804999999996,166.8
41.073176,23.517845999999995,167.4
41.073147999999996,23.517886999999995,168.0
41.073119,23.517927999999994,168.0
41.073091,23.517969999999995,168.6
41.073062,23.518010999999994,169.4
41.073034,23.518052999999995,169.70000000000002
41.073006,23.518094999999995,170.3
41.072977,23.518136999999996,171.20000000000002
41.072948000000004,23.518178999999996,171.4
41.07292,23.518220999999997,171.70000000000002
41.072891000000006,23.518262999999997,171.50000000000003
41.072863000000005,23.518304999999998,171.00000000000003
41.07283400000001,23.518347,171.00000000000003
41.07280500000001,23.518389,171.50000000000003
41.07277600000001,23.518432,172.30000000000004
41.07274800000001,23.518474,172.60000000000005
41.07271900000001,23.518517000000003,173.10000000000005
41.072690000000016,23.518560000000004,173.30000000000004
41.07266100000002,23.518603000000006,174.20000000000005
41.07263200000002,23.518646000000007,174.50000000000006
41.07260300000002,23.51868900000001,174.90000000000006
41.07257500000002,23.518733000000008,175.40000000000006
41.07254500000002,23.51877600000001,175.90000000000006
41.07251600000002,23.51882000000001,176.50000000000006
41.07248800000002,23.51886500000001,176.90000000000006
41.07245800000002,23.518909000000008,177.20000000000007
41.07242900000002,23.518953000000007,177.80000000000007
41.07240000000002,23.518998000000007,178.30000000000007
41.072371000000025,23.519042000000006,178.80000000000007
41.07234200000003,23.519087000000006,179.10000000000008
41.072312000000025,23.519132000000006,179.70000000000007
41.07228300000003,23.519177000000006,180.20000000000007
41.072253000000025,23.519222000000006,180.80000000000007
41.07222300000002,23.519267000000006,180.90000000000006
41.072194000000025,23.519312000000006,181.60000000000005
41.07216400000002,23.519357000000007,181.90000000000006
41.07213300000002,23.519403000000008,182.50000000000006
41.07210300000002,23.519448000000008,182.90000000000006
41.07207300000002,23.519493000000008,183.50000000000006
41.07204200000002,23.51953900000001,183.70000000000005
41.072012000000015,23.51958400000001,184.40000000000003
41.071981000000015,23.51963000000001,184.80000000000004
41.07195100000001,23.51967600000001,185.00000000000003
41.07192000000001,23.519722000000012,185.80000000000004
41.07188900000001,23.519768000000013,186.00000000000003
41.071858,23.519814,186.4
41.071828,23.519861,186.9
41.071797,23.519907,187.3
41.071766,23.519954,187.70000000000002
41.071735,23.52,188.20000000000002
41.071703,23.520046999999998,188.50000000000003
41.071672,23.520093999999997,188.80000000000004
41.071641,23.520140999999995,189.50000000000003
41.071609,23.520187999999994,189.70000000000002
41.071578,23.520234999999992,190.3
41.071546000000005,23.52028199999999,190.5
41.07151400000001,23.520327999999992,190.9
41.07148200000001,23.52037599999999,191.4
41.07145000000001,23.52042299999999,191.9
41.071418000000016,23.52046999999999,192.0
41.071385000000014,23.520516999999987,192.6
41.071353000000016,23.520563999999986,192.9
41.071320000000014,23.520609999999987,193.1
41.07128700000001,23.520656999999986,193.5
41.07125400000001,23.520702999999987,192.8
41.07122100000001,23.520748999999988,190.8
41.07118900000001,23.520793999999988,187.10000000000002
41.071157000000014,23.520837999999987,184.20000000000002
41.071126000000014,23.52088099999999,180.60000000000002
41.07109600000001,23.520921999999988,176.8
41.07106600000001,23.520962999999988,173.10000000000002
41.07103600000001,23.521002999999986,169.50000000000003
41.07100700000001,23.521041999999987,165.80000000000004
41.07097900000001,23.521078999999986,162.20000000000005
41.07095100000001,23.521115999999985,158.60000000000005
41.07092300000001,23.521151999999987,154.60000000000005
41.07089700000001,23.521185999999986,150.80000000000004
41.070870000000006,23.521219999999985,147.00000000000003
41.070845000000006,23.521252999999984,143.90000000000003
41.07081900000001,23.521284999999985,140.50000000000003
41.07079400000001,23.521314999999984,136.80000000000004
41.07077,23.521343999999985,133.60000000000005
41.070745,23.521371999999985,130.60000000000005
41.070721,23.521398999999985,127.80000000000005
41.070696999999996,23.521425999999984,124.80000000000005
41.07067299999999,23.521450999999985,121.70000000000007
41.07064999999999,23.521473999999984,118.60000000000005
41.070626999999995,23.521496999999982,115.40000000000006
41.07060499999999,23.521517999999983,111.80000000000007
41.070581999999995,23.521537999999982,109.00000000000007
41.07055999999999,23.521556999999984,106.00000000000007
41.070539,23.521574999999984,103.40000000000008
41.070516999999995,23.521590999999983,100.70000000000007
41.070494999999994,23.521605999999984,98.80000000000007
41.07047299999999,23.521619999999984,97.40000000000006
41.070451,23.521632,97.2
41.070428,23.521644000000002,96.5
41.070406,23.521654,95.5
41.070383,23.521662000000003,95.1
41.07036,23.521670000000004,94.6
41.070337,23.521676000000003,94.19999999999999
41.070314,23.521681000000005,93.79999999999998
41.070291000000005,23.521684000000004,92.59999999999998
41.070268000000006,23.521686000000003,92.59999999999998
41.07024500000001,23.521687000000004,93.19999999999997
41.070221000000004,23.521687000000004,93.19999999999997
41.070198000000005,23.521685000000005,93.59999999999998
41.070175000000006,23.521682000000006,94.09999999999998
41.070151,23.521678000000005,94.49999999999999
41.070128000000004,23.521672000000006,94.79999999999998
41.070105000000005,23.521666000000007,95.29999999999998
41.070082000000006,23.521658000000006,95.69999999999999
41.07005900000001,23.521649000000007,95.99999999999999
41.070035000000004,23.521639000000008,96.79999999999998
41.070013,23.521628000000007,96.89999999999998
41.069990000000004,23.521615000000008,97.49999999999997
41.069968,23.52160200000001,97.99999999999997
41.069946,23.52158800000001,98.29999999999997
41.069924,23.52157200000001,99.09999999999997
41.069903000000004,23.52155600000001,99.59999999999997
41.069881,23.52153800000001,99.89999999999996
41.069860000000006,23.52152000000001,100.69999999999996
41.069840000000006,23.52150000000001,101.19999999999996
41.06981900000001,23.52148000000001,101.69999999999996
41.06980000000001,23.52145900000001,102.29999999999995
41.06978000000001,23.521436000000012,102.69999999999996
